family,depth,leaves,seed,strategy,decoy_degree,root_states,root_inputs,root_outputs,primitive_state_sum,primitive_state_max,primitive_input_max,cartesian_log2_states,exact_root,all_certificates,success,final_regions,final_states,final_inputs,final_outputs,wall_seconds,generations,merges,candidate_evaluations,oversized_candidates,all_transition_evaluations,selected_transition_evaluations,peak_candidate_raw_states,peak_selected_raw_states,peak_quotient_states,peak_description_bits,selected_total_gain_bits,recovered_oracle_clusters,oracle_cluster_count,cluster_recall,failure
parity,6,64,0,morph_batch,4,2,1,1,512,128,7,127.0,True,True,True,1,2,1,1,0.6154211919999852,10,63,97,0,146944,32256,256,128,128,263936,126.0,63,63,1.0,
parity,6,64,0,structural,4,2,1,1,512,128,7,127.0,False,False,False,45,-1,-1,-1,1.130423791000112,19,19,20,1,84448,84448,256,256,128,263936,14.0,1,63,0.015873015873015872,all available merges exceeded the resource budget
parity,6,64,0,smallest,4,2,1,1,512,128,7,127.0,False,False,False,17,-1,-1,-1,2.5728664709999975,47,47,48,1,485232,485232,256,256,256,526336,26.0,2,63,0.031746031746031744,all available merges exceeded the resource budget
parity,6,64,0,random,4,2,1,1,512,128,7,127.0,False,False,False,45,-1,-1,-1,1.4955974039999091,19,19,20,1,188208,188208,256,256,256,526336,10.0,3,63,0.047619047619047616,all available merges exceeded the resource budget
