family,depth,leaves,seed,strategy,decoy_degree,root_states,root_inputs,root_outputs,primitive_state_sum,primitive_state_max,primitive_input_max,cartesian_log2_states,exact_root,all_certificates,success,final_regions,final_states,final_inputs,final_outputs,wall_seconds,generations,merges,candidate_evaluations,oversized_candidates,all_transition_evaluations,selected_transition_evaluations,peak_candidate_raw_states,peak_selected_raw_states,peak_quotient_states,peak_description_bits,selected_total_gain_bits,recovered_oracle_clusters,oracle_cluster_count,cluster_recall,failure
parity,4,16,0,morph_batch,4,2,1,1,96,32,5,31.0,True,True,True,1,2,1,1,0.11079132700001537,5,15,23,0,25280,1920,128,32,64,58112,30.0,15,15,1.0,
parity,5,32,0,morph_batch,4,2,1,1,224,64,6,63.0,True,True,True,1,2,1,1,0.18259549499998684,7,31,47,0,37760,7936,128,64,64,58112,62.0,31,31,1.0,
parity,6,64,0,morph_batch,4,2,1,1,512,128,7,127.0,True,True,True,1,2,1,1,0.6039610040002117,10,63,97,0,146944,32256,256,128,128,263936,126.0,63,63,1.0,
parity,7,128,0,morph_batch,4,2,1,1,1152,256,8,255.0,True,True,True,1,2,1,1,1.3006432839999889,13,127,198,0,336768,130048,256,256,256,526336,254.0,127,127,1.0,
parity,8,256,0,morph_batch,4,2,1,1,2560,512,9,511.0,True,True,True,1,2,1,1,7.75742379899998,18,255,420,0,2061888,522240,512,512,512,2363904,510.0,255,255,1.0,
parity,9,512,0,morph_batch,4,2,1,1,5632,1024,10,1023.0,True,True,True,1,2,1,1,16.635109100000136,21,511,836,0,4380800,2093056,1024,1024,1024,10496000,1022.0,511,511,1.0,
