family,depth,leaves,seed,strategy,decoy_degree,root_states,root_inputs,root_outputs,primitive_state_sum,primitive_state_max,primitive_input_max,cartesian_log2_states,exact_root,all_certificates,success,final_regions,final_states,final_inputs,final_outputs,wall_seconds,generations,merges,candidate_evaluations,oversized_candidates,all_transition_evaluations,selected_transition_evaluations,peak_candidate_raw_states,peak_selected_raw_states,peak_quotient_states,peak_description_bits,selected_total_gain_bits,recovered_oracle_clusters,oracle_cluster_count,cluster_recall,failure
parity,4,16,2,random,4,2,1,1,96,32,5,31.0,False,False,False,10,-1,-1,-1,1.1727084029998878,6,6,7,1,145408,145408,256,256,256,526336,4.0,0,15,0.0,all available merges exceeded the resource budget
parity,4,16,3,morph_batch,4,2,1,1,96,32,5,31.0,True,True,True,1,2,1,1,0.1032297429999289,5,15,23,0,25280,1920,128,32,64,58112,30.0,15,15,1.0,
parity,4,16,3,structural,4,2,1,1,96,32,5,31.0,True,True,True,1,2,1,1,0.3167107469998882,15,15,15,0,91632,91632,256,256,128,263936,30.0,1,15,0.0666666666666666,
parity,4,16,3,smallest,4,2,1,1,96,32,5,31.0,False,False,False,3,-1,-1,-1,1.529738339000005,13,13,14,1,290496,290496,512,512,256,1183744,12.0,0,15,0.0,all available merges exceeded the resource budget
parity,4,16,3,random,4,2,1,1,96,32,5,31.0,False,False,False,8,-1,-1,-1,1.1166383439999663,8,8,9,1,133152,133152,256,256,256,526336,2.0,0,15,0.0,all available merges exceeded the resource budget
parity,4,16,4,morph_batch,4,2,1,1,96,32,5,31.0,True,True,True,1,2,1,1,0.1027887599998393,5,15,23,0,25280,1920,128,32,64,58112,30.0,15,15,1.0,
parity,4,16,4,structural,4,2,1,1,96,32,5,31.0,False,False,False,9,-1,-1,-1,0.7286748120000084,7,7,8,1,55360,55360,128,128,128,115584,4.0,0,15,0.0,all available merges exceeded the resource budget
parity,4,16,4,smallest,4,2,1,1,96,32,5,31.0,True,True,True,1,2,1,1,1.3261362289999852,15,15,15,0,383360,383360,512,512,256,1183744,30.0,2,15,0.1333333333333333,
parity,4,16,4,random,4,2,1,1,96,32,5,31.0,True,True,True,1,2,1,1,1.983442689000185,15,15,15,0,536400,536400,512,512,256,1183744,30.0,1,15,0.0666666666666666,
parity,5,32,0,morph_batch,4,2,1,1,224,64,6,63.0,True,True,True,1,2,1,1,0.1660308949999489,7,31,47,0,37760,7936,128,64,64,58112,62.0,31,31,1.0,
parity,5,32,0,structural,4,2,1,1,224,64,6,63.0,False,False,False,15,-1,-1,-1,2.042502536000029,17,17,18,1,397104,397104,512,512,256,1183744,24.0,3,31,0.0967741935483871,all available merges exceeded the resource budget
parity,5,32,0,smallest,4,2,1,1,224,64,6,63.0,False,False,False,8,-1,-1,-1,1.3433825889999298,24,24,25,1,195760,195760,256,256,256,526336,16.0,1,31,0.032258064516129,all available merges exceeded the resource budget
parity,5,32,0,random,4,2,1,1,224,64,6,63.0,False,False,False,24,-1,-1,-1,1.2608116970000085,8,8,9,1,172400,172400,256,256,256,526336,4.0,2,31,0.064516129032258,all available merges exceeded the resource budget
parity,5,32,1,morph_batch,4,2,1,1,224,64,6,63.0,True,True,True,1,2,1,1,0.1743010119998871,7,31,47,0,37760,7936,128,64,64,58112,62.0,31,31,1.0,
parity,5,32,1,structural,4,2,1,1,224,64,6,63.0,False,False,False,12,-1,-1,-1,0.7997345369999493,20,20,21,1,52768,52768,128,128,64,58112,26.0,2,31,0.064516129032258,all available merges exceeded the resource budget
parity,5,32,1,smallest,4,2,1,1,224,64,6,63.0,False,False,False,8,-1,-1,-1,1.481466896000029,24,24,25,1,248048,248048,256,256,256,526336,14.0,1,31,0.032258064516129,all available merges exceeded the resource budget
parity,5,32,1,random,4,2,1,1,224,64,6,63.0,False,False,False,24,-1,-1,-1,1.5872524920000617,8,8,9,1,268032,268032,512,512,256,1183744,2.0,0,31,0.0,all available merges exceeded the resource budget
parity,5,32,2,morph_batch,4,2,1,1,224,64,6,63.0,True,True,True,1,2,1,1,0.1771475570001257,7,31,47,0,37760,7936,128,64,64,58112,62.0,31,31,1.0,
parity,5,32,2,structural,4,2,1,1,224,64,6,63.0,False,False,False,16,-1,-1,-1,0.8716806490001545,16,16,17,1,68736,68736,128,128,128,115584,20.0,3,31,0.0967741935483871,all available merges exceeded the resource budget
parity,5,32,2,smallest,4,2,1,1,224,64,6,63.0,False,False,False,7,-1,-1,-1,1.7669372940001722,25,25,26,1,313056,313056,256,256,256,526336,18.0,2,31,0.064516129032258,all available merges exceeded the resource budget
parity,5,32,2,random,4,2,1,1,224,64,6,63.0,False,False,False,23,-1,-1,-1,0.7161463459999595,9,9,10,1,33600,33600,128,128,64,58112,6.0,0,31,0.0,all available merges exceeded the resource budget
parity,6,64,0,morph_batch,4,2,1,1,512,128,7,127.0,True,True,True,1,2,1,1,0.6154211919999852,10,63,97,0,146944,32256,256,128,128,263936,126.0,63,63,1.0,
parity,6,64,0,structural,4,2,1,1,512,128,7,127.0,False,False,False,45,-1,-1,-1,1.130423791000112,19,19,20,1,84448,84448,256,256,128,263936,14.0,1,63,0.0158730158730158,all available merges exceeded the resource budget
parity,6,64,0,smallest,4,2,1,1,512,128,7,127.0,False,False,False,17,-1,-1,-1,2.572866470999997,47,47,48,1,485232,485232,256,256,256,526336,26.0,2,63,0.0317460317460317,all available merges exceeded the resource budget
parity,6,64,0,random,4,2,1,1,512,128,7,127.0,False,False,False,45,-1,-1,-1,1.4955974039999091,19,19,20,1,188208,188208,256,256,256,526336,10.0,3,63,0.0476190476190476,all available merges exceeded the resource budget
parity,6,64,1,morph_batch,4,2,1,1,512,128,7,127.0,True,True,True,1,2,1,1,0.6110181489998467,10,63,97,0,146944,32256,256,128,128,263936,126.0,63,63,1.0,
parity,6,64,1,structural,4,2,1,1,512,128,7,127.0,False,False,False,43,-1,-1,-1,2.1981009239998457,21,21,22,1,264448,264448,256,256,256,526336,16.0,4,63,0.0634920634920634,all available merges exceeded the resource budget
parity,6,64,1,smallest,4,2,1,1,512,128,7,127.0,False,False,False,15,-1,-1,-1,2.1848706999999195,49,49,50,1,424048,424048,256,256,256,526336,32.0,7,63,0.1111111111111111,all available merges exceeded the resource budget
parity,6,64,1,random,4,2,1,1,512,128,7,127.0,False,False,False,55,-1,-1,-1,0.8507990969999355,9,9,10,1,105760,105760,256,256,128,263936,4.0,0,63,0.0,all available merges exceeded the resource budget
parity,6,64,2,morph_batch,4,2,1,1,512,128,7,127.0,True,True,True,1,2,1,1,0.6113044169999284,10,63,97,0,146944,32256,256,128,128,263936,126.0,63,63,1.0,
parity,6,64,2,structural,4,2,1,1,512,128,7,127.0,False,False,False,39,-1,-1,-1,0.9335957460000373,25,25,26,1,29120,29120,128,128,128,115584,26.0,6,63,0.0952380952380952,all available merges exceeded the resource budget
parity,6,64,2,smallest,4,2,1,1,512,128,7,127.0,False,False,False,18,-1,-1,-1,1.6582436010000947,46,46,47,1,297456,297456,256,256,256,526336,22.0,1,63,0.0158730158730158,all available merges exceeded the resource budget
parity,6,64,2,random,4,2,1,1,512,128,7,127.0,False,False,False,59,-1,-1,-1,1.0070497520000572,5,5,6,1,133776,133776,256,256,256,526336,2.0,1,63,0.0158730158730158,all available merges exceeded the resource budget
